"","i","j","iSam","jSam","het_het","het_homo","homo_het","homo_homo","len_i","len_j","tot_i","tot_j","logicSum","totSum","totMean","totProp","crToIb","ibToCr","ibToIb","fs","iSam_mother","iSam_father","jSam_mother","jSam_father","minTest","""...""","mother","sample","origin","code","n_tot","n_delly","n_gatk","nr_n","nr_het","nr_homo","nr_uni","nr_uniHet","nr_uniHomo","motherDL","sampleDL","lfm_n","lfm_het","lfm_homo","lfm_hetProp","cp_logic","father","likelySelf","originMod","coverage","cp_status","""...""","mother","sample","origin","code","n_tot","n_delly","n_gatk","nr_n","nr_het","nr_homo","nr_uni","nr_uniHet","nr_uniHomo","motherDL","sampleDL","lfm_n","lfm_het","lfm_homo","lfm_hetProp","cp_logic","father","likelySelf","originMod","coverage","cp_status"
"FIL30_162_M2114",113,115,"FIL30_162_M2","FIL30_165_M2",76,0,0,1,78,78,79,80,77,159,79.5,0.968553459119497,104.6,106.841772151899,123.73820754717,66.1278481012658,"FIL30_162",NA,"FIL30_165",NA,66.1278481012658,"...","FIL30_162","FIL30_162_M2","FIL30_162_M2-3","FIL30_162|FIL30_162_M2|FIL30_162_M2-3",82,6,76,80,1,79,1,1,NA,FALSE,FALSE,74,73,1,0.986486486486487,FALSE,NA,FALSE,"FIL30_162_M2_3",58.5901969016723,"Ambiguous","...","FIL30_165","FIL30_165_M2","FIL30_165_M2-3","FIL30_165|FIL30_165_M2|FIL30_165_M2-3",83,6,77,81,1,80,2,2,NA,FALSE,FALSE,75,74,1,0.986666666666667,FALSE,NA,FALSE,"FIL30_165_M2_3",36.1073827456898,"Ambiguous"
"FIL30_165_M2112",115,113,"FIL30_165_M2","FIL30_162_M2",76,0,0,1,78,78,80,79,77,159,79.5,0.968553459119497,106.841772151899,104.6,123.73820754717,66.1278481012658,"FIL30_165",NA,"FIL30_162",NA,66.1278481012658,"...","FIL30_165","FIL30_165_M2","FIL30_165_M2-3","FIL30_165|FIL30_165_M2|FIL30_165_M2-3",83,6,77,81,1,80,2,2,NA,FALSE,FALSE,75,74,1,0.986666666666667,FALSE,NA,FALSE,"FIL30_165_M2_3",36.1073827456898,"Ambiguous","...","FIL30_162","FIL30_162_M2","FIL30_162_M2-3","FIL30_162|FIL30_162_M2|FIL30_162_M2-3",82,6,76,80,1,79,1,1,NA,FALSE,FALSE,74,73,1,0.986486486486487,FALSE,NA,FALSE,"FIL30_162_M2_3",58.5901969016723,"Ambiguous"
"FIL20_97_F_M245",50,46,"FIL20_97_F_M2","FIL20_97_A_M2",14,4,6,0,27,30,42,37,24,79,39.5,0.607594936708861,0.986486486486486,0.142857142857143,4.40981012658228,3.42792792792793,"FIL20_97",NA,"FIL20_97","FIL20_97",0.142857142857143,"...","FIL20_97","FIL20_97_F_M2","Fil20_97_F_M2_1","FIL20_97|FIL20_97_F_M2|Fil20_97_F_M2_1",52,17,35,43,6,37,14,14,NA,TRUE,FALSE,34,31,3,0.911764705882353,FALSE,NA,FALSE,"FIL20_97_F_M2_1",39.6351090534377,"Ambiguous","...","FIL20_97","FIL20_97_A_M2","Fil20_97_A_M2_1","FIL20_97|FIL20_97_A_M2|Fil20_97_A_M2_1",46,13,33,38,5,33,7,7,NA,TRUE,FALSE,32,27,5,0.84375,FALSE,"FIL20_97",TRUE,"FIL20_97_A_M2_1",69.7598781168918,"Self"
"FIL30_56_I_M2489",496,490,"FIL30_56_I_M2","FIL30_56_B_M2",40,15,0,0,60,76,96,90,55,186,93,0.591397849462366,3.33333333333333,18,25.8790322580645,1.88888888888889,"FIL30_56",NA,"FIL30_56","FIL30_56",1.88888888888889,"...","FIL30_56","FIL30_56_I_M2","Fil30_56_I_M2_1","FIL30_56|FIL30_56_I_M2|Fil30_56_I_M2_1",100,10,90,97,NA,97,36,36,NA,TRUE,FALSE,87,87,NA,1,TRUE,NA,FALSE,"FIL30_56_I_M2_1",49.3066239956887,"Cross","...","FIL30_56","FIL30_56_B_M2","Fil30_56_B_M2_1","FIL30_56|FIL30_56_B_M2|Fil30_56_B_M2_1",97,13,84,91,17,74,13,13,NA,TRUE,FALSE,78,62,16,0.794871794871795,FALSE,"FIL30_56",TRUE,"FIL30_56_B_M2_1",53.451204062933,"Self"
"FIL30_861_M2543",749,544,"FIL30_861_M2","FIL30_608_M2",30,34,0,2,70,68,126,99,66,225,112.5,0.586666666666667,18.8333333333333,24.4285714285714,38.455,24.9675324675325,"FIL30_861",NA,"FIL30_608","FIL30_608",18.8333333333333,"...","FIL30_861","FIL30_861_M2","FIL30.861.M2","FIL30_861|FIL30_861_M2|FIL30.861.M2",135,17,118,128,3,125,54,53,1,FALSE,FALSE,114,112,2,0.982456140350877,FALSE,NA,FALSE,"FIL30_861_M2",78.0269842539199,"Ambiguous","...","FIL30_608","FIL30_608_M2","FIL30.608.M2","FIL30_608|FIL30_608_M2|FIL30.608.M2",111,9,102,100,38,62,28,26,2,FALSE,FALSE,91,54,37,0.593406593406593,FALSE,"FIL30_608",TRUE,"FIL30_608_M2",52.7723593539005,"Self"
"FIL30_56_I_M2491",496,492,"FIL30_56_I_M2","FIL30_56_D_M2",37,18,0,0,60,77,96,92,55,188,94,0.585106382978723,1.77173913043478,16.78125,24.8723404255319,4.28170289855072,"FIL30_56",NA,"FIL30_56","FIL30_56",1.77173913043478,"...","FIL30_56","FIL30_56_I_M2","Fil30_56_I_M2_1","FIL30_56|FIL30_56_I_M2|Fil30_56_I_M2_1",100,10,90,97,NA,97,36,36,NA,TRUE,FALSE,87,87,NA,1,TRUE,NA,FALSE,"FIL30_56_I_M2_1",49.3066239956887,"Cross","...","FIL30_56","FIL30_56_D_M2","Fil30_56_D_M2_1","FIL30_56|FIL30_56_D_M2|Fil30_56_D_M2_1",102,14,88,94,26,68,15,15,NA,TRUE,FALSE,82,56,26,0.682926829268293,FALSE,"FIL30_56",TRUE,"FIL30_56_D_M2_1",80.7173154766932,"Self"
"FIL30_346_M2283",287,284,"FIL30_346_M2","FIL30_343_M2",22,16,2,2,53,52,73,74,42,147,73.5,0.571428571428571,1.37837837837838,8.71917808219178,12.7576530612245,11.8413550536838,"FIL30_346",NA,"FIL30_343","FIL30_343",1.37837837837838,"...","FIL30_346","FIL30_346_M2","FIL30.346.M2","FIL30_346|FIL30_346_M2|FIL30.346.M2",87,19,68,74,6,68,18,16,2,FALSE,FALSE,62,56,6,0.903225806451613,FALSE,NA,FALSE,"FIL30_346_M2",50.0141342700332,"Ambiguous","...","FIL30_343","FIL30_343_M2","FIL30.343.M2","FIL30_343|FIL30_343_M2|FIL30.343.M2",82,11,71,74,29,45,20,14,6,FALSE,FALSE,67,41,26,0.611940298507463,FALSE,"FIL30_343",TRUE,"FIL30_343_M2",68.7034932963292,"Self"
"FIL30_56_I_M2494",496,495,"FIL30_56_I_M2","FIL30_56_H_M2",36,18,0,0,60,77,96,99,54,195,97.5,0.553846153846154,0.409090909090909,16.5,24.9403846153846,6.68181818181818,"FIL30_56",NA,"FIL30_56","FIL30_56",0.409090909090909,"...","FIL30_56","FIL30_56_I_M2","Fil30_56_I_M2_1","FIL30_56|FIL30_56_I_M2|Fil30_56_I_M2_1",100,10,90,97,NA,97,36,36,NA,TRUE,FALSE,87,87,NA,1,TRUE,NA,FALSE,"FIL30_56_I_M2_1",49.3066239956887,"Cross","...","FIL30_56","FIL30_56_H_M2","Fil30_56_H_M2_1","FIL30_56|FIL30_56_H_M2|Fil30_56_H_M2_1",109,12,97,100,25,75,20,19,1,TRUE,FALSE,88,65,23,0.738636363636364,FALSE,"FIL30_56",TRUE,"FIL30_56_H_M2_1",56.6991454251293,"Self"
"FIL30_85_F_M2733",736,734,"FIL30_85_F_M2","FIL30_85_C_M2",11,9,0,0,28,27,38,36,20,74,37,0.540540540540541,1.58333333333333,6.55263157894737,10.6959459459459,6.0906432748538,"FIL30_85",NA,"FIL30_85","FIL30_85",1.58333333333333,"...","FIL30_85","FIL30_85_F_M2","Fil30_85_F_M2_1","FIL30_85|FIL30_85_F_M2|Fil30_85_F_M2_1",46,9,37,39,NA,39,9,9,NA,TRUE,FALSE,34,34,NA,1,TRUE,NA,FALSE,"FIL30_85_F_M2_1",55.6903153635591,"Cross","...","FIL30_85","FIL30_85_C_M2","Fil30_85_C_M2_1","FIL30_85|FIL30_85_C_M2|Fil30_85_C_M2_1",47,13,34,38,13,25,8,8,NA,TRUE,FALSE,32,22,10,0.6875,FALSE,"FIL30_85",TRUE,"FIL30_85_C_M2_1",59.1921283504532,"Self"
"FIL30_56_I_M2493",496,494,"FIL30_56_I_M2","FIL30_56_G_M2",39,10,0,0,60,80,96,90,49,186,93,0.526881720430108,4.36666666666667,17.53125,27.2661290322581,2.4875,"FIL30_56",NA,"FIL30_56","FIL30_56",2.4875,"...","FIL30_56","FIL30_56_I_M2","Fil30_56_I_M2_1","FIL30_56|FIL30_56_I_M2|Fil30_56_I_M2_1",100,10,90,97,NA,97,36,36,NA,TRUE,FALSE,87,87,NA,1,TRUE,NA,FALSE,"FIL30_56_I_M2_1",49.3066239956887,"Cross","...","FIL30_56","FIL30_56_G_M2","Fil30_56_G_M2_1","FIL30_56|FIL30_56_G_M2|Fil30_56_G_M2_1",96,14,82,91,13,78,10,10,NA,TRUE,FALSE,77,64,13,0.831168831168831,FALSE,"FIL30_56",TRUE,"FIL30_56_G_M2_1",57.2006427557988,"Self"
"FIL30_340_M2284",281,285,"FIL30_340_M2","FIL30_344_M2",17,24,0,3,50,57,101,71,44,172,86,0.511627906976744,14.387323943662,25.0841584158416,28.0232558139535,31.8636173476503,"FIL30_340",NA,"FIL30_344","FIL30_344",14.387323943662,"...","FIL30_340","FIL30_340_M2","FIL30.340.M2","FIL30_340|FIL30_340_M2|FIL30.340.M2",114,34,80,101,4,97,47,47,NA,FALSE,FALSE,74,70,4,0.945945945945946,FALSE,NA,FALSE,"FIL30_340_M2",34.6266959729453,"Ambiguous","...","FIL30_344","FIL30_344_M2","FIL30.344.M2","FIL30_344|FIL30_344_M2|FIL30.344.M2",90,38,52,72,31,41,11,9,2,FALSE,FALSE,46,20,26,0.434782608695652,FALSE,"FIL30_344",TRUE,"FIL30_344_M2",44.7593891779478,"Self"
"FIL30_109_I_M261",64,62,"FIL30_109_I_M2","FIL30_109_G_M2",24,23,0,0,82,62,110,74,47,184,92,0.510869565217391,9.24324324324324,22.7090909090909,28.2826086956522,22.0402948402948,"FIL30_109",NA,"FIL30_109","FIL30_109",9.24324324324324,"...","FIL30_109","FIL30_109_I_M2","Fil30_109_I_M2_1","FIL30_109|FIL30_109_I_M2|Fil30_109_I_M2_1",118,19,99,111,NA,111,28,28,NA,TRUE,FALSE,95,95,NA,1,TRUE,NA,FALSE,"FIL30_109_I_M2_1",43.8845288833108,"Cross","...","FIL30_109","FIL30_109_G_M2","Fil30_109_G_M2_1","FIL30_109|FIL30_109_G_M2|Fil30_109_G_M2_1",79,11,68,75,28,47,12,11,1,TRUE,FALSE,66,38,28,0.575757575757576,FALSE,"FIL30_109",TRUE,"FIL30_109_G_M2_1",85.8312251644565,"Self"
"FIL30_164_M2189",114,190,"FIL30_164_M2","FIL30_249_M2",30,19,0,0,53,49,111,83,49,194,97,0.505154639175258,2.12650602409638,19.8243243243243,24.9149484536083,14.902963204168,"FIL30_164",NA,"FIL30_249","FIL30_249",2.12650602409638,"...","FIL30_164","FIL30_164_M2","FIL30_164_M2-3","FIL30_164|FIL30_164_M2|FIL30_164_M2-3",137,32,105,112,NA,112,50,50,NA,FALSE,FALSE,93,93,NA,1,TRUE,NA,FALSE,"FIL30_164_M2_3",30.8929724051248,"Cross","...","FIL30_249","FIL30_249_M2","FIL30_249_M2-4","FIL30_249|FIL30_249_M2|FIL30_249_M2-4",101,13,88,84,21,63,29,27,2,FALSE,FALSE,74,58,16,0.783783783783784,FALSE,"FIL30_249",TRUE,"FIL30_249_M2_4",39.3558664887965,"Self"
"FIL30_253_M2192",195,193,"FIL30_253_M2","FIL30_251_M2",51,13,0,0,68,67,138,116,64,254,127,0.503937007874016,6.00862068965517,23.5434782608696,36.6751968503937,5.54047976011994,"FIL30_253",NA,"FIL30_251","FIL30_251",5.54047976011994,"...","FIL30_253","FIL30_253_M2","FIL30_253_M2-4","FIL30_253|FIL30_253_M2|FIL30_253_M2-4",149,23,126,139,NA,139,67,67,NA,FALSE,FALSE,120,120,NA,1,TRUE,NA,FALSE,"FIL30_253_M2_4",38.6540636500588,"Cross","...","FIL30_251","FIL30_251_M2","FIL30_251_M2-4","FIL30_251|FIL30_251_M2|FIL30_251_M2-4",128,30,98,118,18,100,46,41,5,FALSE,FALSE,93,75,18,0.806451612903226,FALSE,"FIL30_251",TRUE,"FIL30_251_M2_4",28.7699829386196,"Self"
"FIL20_47_A_M238",36,39,"FIL20_47_A_M2","FIL20_47_E_M2",9,6,0,2,29,22,35,33,17,68,34,0.5,0.409090909090909,6.44285714285714,6.41176470588235,7.53766233766234,"FIL20_47",NA,"FIL20_47","FIL20_47",0.409090909090909,"...","FIL20_47","FIL20_47_A_M2","Fil20_47_A_M2_1","FIL20_47|FIL20_47_A_M2|Fil20_47_A_M2_1",41,11,30,36,2,34,6,6,NA,TRUE,FALSE,29,27,2,0.931034482758621,FALSE,NA,FALSE,"FIL20_47_A_M2_1",45.1435609127825,"Ambiguous","...","FIL20_47","FIL20_47_E_M2","Fil20_47_E_M2_1","FIL20_47|FIL20_47_E_M2|Fil20_47_E_M2_1",39,10,29,34,12,22,11,8,3,TRUE,FALSE,28,17,11,0.607142857142857,FALSE,"FIL20_47",TRUE,"FIL20_47_E_M2_1",64.4033961061913,"Self"
"FIL20_97_F_M247",50,48,"FIL20_97_F_M2","FIL20_97_C_M2",8,8,3,0,27,27,42,35,19,77,38.5,0.493506493506494,1.95714285714286,4.85714285714286,7.23863636363636,13.2047619047619,"FIL20_97",NA,"FIL20_97","FIL20_97",1.95714285714286,"...","FIL20_97","FIL20_97_F_M2","Fil20_97_F_M2_1","FIL20_97|FIL20_97_F_M2|Fil20_97_F_M2_1",52,17,35,43,6,37,14,14,NA,TRUE,FALSE,34,31,3,0.911764705882353,FALSE,NA,FALSE,"FIL20_97_F_M2_1",39.6351090534377,"Ambiguous","...","FIL20_97","FIL20_97_C_M2","Fil20_97_C_M2_1","FIL20_97|FIL20_97_C_M2|Fil20_97_C_M2_1",38,4,34,36,9,27,8,8,NA,TRUE,FALSE,33,24,9,0.727272727272727,FALSE,"FIL20_97",TRUE,"FIL20_97_C_M2_1",56.6952431377555,"Self"
