"","i","j","iSam","jSam","het_het","het_homo","homo_het","homo_homo","len_i","len_j","tot_i","tot_j","logicSum","totSum","totMean","totProp","crToIb","ibToCr","ibToIb","fs","iSam_mother","iSam_father","jSam_mother","jSam_father","""...""","mother","sample","origin","code","n_tot","n_delly","n_gatk","nr_n","nr_het","nr_homo","nr_uni","nr_uniHet","nr_uniHomo","motherDL","sampleDL","lfm_n","lfm_het","lfm_homo","lfm_hetProp","cp_logic","father","likelySelf","originMod","coverage","cp_status","""...""","mother","sample","origin","code","n_tot","n_delly","n_gatk","nr_n","nr_het","nr_homo","nr_uni","nr_uniHet","nr_uniHomo","motherDL","sampleDL","lfm_n","lfm_het","lfm_homo","lfm_hetProp","cp_logic","father","likelySelf","originMod","coverage","cp_status"
"FIL30_162_M2114",113,115,"FIL30_162_M2","FIL30_165_M2",76,0,0,1,78,78,79,80,77,159,79.5,0.968553459119497,104.6,106.841772151899,123.73820754717,66.1278481012658,"FIL30_162",NA,"FIL30_165",NA,"...","FIL30_162","FIL30_162_M2","FIL30_162_M2-3","FIL30_162|FIL30_162_M2|FIL30_162_M2-3",82,6,76,80,1,79,1,1,NA,FALSE,FALSE,74,73,1,0.986486486486487,FALSE,NA,FALSE,"FIL30_162_M2_3",58.5901969016723,"Ambiguous","...","FIL30_165","FIL30_165_M2","FIL30_165_M2-3","FIL30_165|FIL30_165_M2|FIL30_165_M2-3",83,6,77,81,1,80,2,2,NA,FALSE,FALSE,75,74,1,0.986666666666667,FALSE,NA,FALSE,"FIL30_165_M2_3",36.1073827456898,"Ambiguous"
"FIL30_165_M2112",115,113,"FIL30_165_M2","FIL30_162_M2",76,0,0,1,78,78,80,79,77,159,79.5,0.968553459119497,106.841772151899,104.6,123.73820754717,66.1278481012658,"FIL30_165",NA,"FIL30_162",NA,"...","FIL30_165","FIL30_165_M2","FIL30_165_M2-3","FIL30_165|FIL30_165_M2|FIL30_165_M2-3",83,6,77,81,1,80,2,2,NA,FALSE,FALSE,75,74,1,0.986666666666667,FALSE,NA,FALSE,"FIL30_165_M2_3",36.1073827456898,"Ambiguous","...","FIL30_162","FIL30_162_M2","FIL30_162_M2-3","FIL30_162|FIL30_162_M2|FIL30_162_M2-3",82,6,76,80,1,79,1,1,NA,FALSE,FALSE,74,73,1,0.986486486486487,FALSE,NA,FALSE,"FIL30_162_M2_3",58.5901969016723,"Ambiguous"
"FIL20_47_C_M2737",38,738,"FIL20_47_C_M2","FIL30_85_H_M2",28,0,0,7,37,35,41,35,35,76,38,0.921052631578947,28.7,21.8658536585366,35.8684210526316,9.04390243902439,"FIL20_47","FIL20_47","FIL30_85","FIL30_85","...","FIL20_47","FIL20_47_C_M2","Fil20_47_C_M2_1","FIL20_47|FIL20_47_C_M2|Fil20_47_C_M2_1",52,19,33,43,7,36,4,4,NA,TRUE,FALSE,32,27,5,0.84375,FALSE,"FIL20_47",TRUE,"FIL20_47_C_M2_1",52.2542175930581,"Self","...","FIL30_85","FIL30_85_H_M2","Fil30_85_H_M2_1","FIL30_85|FIL30_85_H_M2|Fil30_85_H_M2_1",44,15,29,37,7,30,NA,NA,NA,TRUE,FALSE,28,23,5,0.821428571428571,FALSE,"FIL30_85",TRUE,"FIL30_85_H_M2_1",62.3782386784202,"Self"
"FIL30_85_H_M237",738,38,"FIL30_85_H_M2","FIL20_47_C_M2",28,0,0,7,35,37,35,41,35,76,38,0.921052631578947,21.8658536585366,28.7,35.8684210526316,9.04390243902439,"FIL30_85","FIL30_85","FIL20_47","FIL20_47","...","FIL30_85","FIL30_85_H_M2","Fil30_85_H_M2_1","FIL30_85|FIL30_85_H_M2|Fil30_85_H_M2_1",44,15,29,37,7,30,NA,NA,NA,TRUE,FALSE,28,23,5,0.821428571428571,FALSE,"FIL30_85",TRUE,"FIL30_85_H_M2_1",62.3782386784202,"Self","...","FIL20_47","FIL20_47_C_M2","Fil20_47_C_M2_1","FIL20_47|FIL20_47_C_M2|Fil20_47_C_M2_1",52,19,33,43,7,36,4,4,NA,TRUE,FALSE,32,27,5,0.84375,FALSE,"FIL20_47",TRUE,"FIL20_47_C_M2_1",52.2542175930581,"Self"
"FIL30_56_B_M2493",490,494,"FIL30_56_B_M2","FIL30_56_G_M2",51,2,6,7,76,80,90,90,66,180,90,0.733333333333333,25.9666666666667,20.1,31.4,1.6,"FIL30_56","FIL30_56","FIL30_56","FIL30_56","...","FIL30_56","FIL30_56_B_M2","Fil30_56_B_M2_1","FIL30_56|FIL30_56_B_M2|Fil30_56_B_M2_1",97,13,84,91,17,74,13,13,NA,TRUE,FALSE,78,62,16,0.794871794871795,FALSE,"FIL30_56",TRUE,"FIL30_56_B_M2_1",53.451204062933,"Self","...","FIL30_56","FIL30_56_G_M2","Fil30_56_G_M2_1","FIL30_56|FIL30_56_G_M2|Fil30_56_G_M2_1",96,14,82,91,13,78,10,10,NA,TRUE,FALSE,77,64,13,0.831168831168831,FALSE,"FIL30_56",TRUE,"FIL30_56_G_M2_1",57.2006427557988,"Self"
"FIL30_56_G_M2489",494,490,"FIL30_56_G_M2","FIL30_56_B_M2",51,6,2,7,80,76,90,90,66,180,90,0.733333333333333,20.1,25.9666666666667,31.4,1.6,"FIL30_56","FIL30_56","FIL30_56","FIL30_56","...","FIL30_56","FIL30_56_G_M2","Fil30_56_G_M2_1","FIL30_56|FIL30_56_G_M2|Fil30_56_G_M2_1",96,14,82,91,13,78,10,10,NA,TRUE,FALSE,77,64,13,0.831168831168831,FALSE,"FIL30_56",TRUE,"FIL30_56_G_M2_1",57.2006427557988,"Self","...","FIL30_56","FIL30_56_B_M2","Fil30_56_B_M2_1","FIL30_56|FIL30_56_B_M2|Fil30_56_B_M2_1",97,13,84,91,17,74,13,13,NA,TRUE,FALSE,78,62,16,0.794871794871795,FALSE,"FIL30_56",TRUE,"FIL30_56_B_M2_1",53.451204062933,"Self"
"FIL30_56_B_M2494",490,495,"FIL30_56_B_M2","FIL30_56_H_M2",45,10,5,9,76,77,90,99,69,189,94.5,0.73015873015873,6.92424242424242,14.1666666666667,15.3829365079365,0.409090909090909,"FIL30_56","FIL30_56","FIL30_56","FIL30_56","...","FIL30_56","FIL30_56_B_M2","Fil30_56_B_M2_1","FIL30_56|FIL30_56_B_M2|Fil30_56_B_M2_1",97,13,84,91,17,74,13,13,NA,TRUE,FALSE,78,62,16,0.794871794871795,FALSE,"FIL30_56",TRUE,"FIL30_56_B_M2_1",53.451204062933,"Self","...","FIL30_56","FIL30_56_H_M2","Fil30_56_H_M2_1","FIL30_56|FIL30_56_H_M2|Fil30_56_H_M2_1",109,12,97,100,25,75,20,19,1,TRUE,FALSE,88,65,23,0.738636363636364,FALSE,"FIL30_56",TRUE,"FIL30_56_H_M2_1",56.6991454251293,"Self"
"FIL30_56_H_M2489",495,490,"FIL30_56_H_M2","FIL30_56_B_M2",45,5,10,9,77,76,99,90,69,189,94.5,0.73015873015873,14.1666666666667,6.92424242424242,15.3829365079365,0.409090909090909,"FIL30_56","FIL30_56","FIL30_56","FIL30_56","...","FIL30_56","FIL30_56_H_M2","Fil30_56_H_M2_1","FIL30_56|FIL30_56_H_M2|Fil30_56_H_M2_1",109,12,97,100,25,75,20,19,1,TRUE,FALSE,88,65,23,0.738636363636364,FALSE,"FIL30_56",TRUE,"FIL30_56_H_M2_1",56.6991454251293,"Self","...","FIL30_56","FIL30_56_B_M2","Fil30_56_B_M2_1","FIL30_56|FIL30_56_B_M2|Fil30_56_B_M2_1",97,13,84,91,17,74,13,13,NA,TRUE,FALSE,78,62,16,0.794871794871795,FALSE,"FIL30_56",TRUE,"FIL30_56_B_M2_1",53.451204062933,"Self"
"FIL30_56_D_M2493",492,494,"FIL30_56_D_M2","FIL30_56_G_M2",33,7,21,5,77,80,92,90,66,182,91,0.725274725274725,4.56666666666667,2.27173913043478,7.75549450549451,6.87391304347826,"FIL30_56","FIL30_56","FIL30_56","FIL30_56","...","FIL30_56","FIL30_56_D_M2","Fil30_56_D_M2_1","FIL30_56|FIL30_56_D_M2|Fil30_56_D_M2_1",102,14,88,94,26,68,15,15,NA,TRUE,FALSE,82,56,26,0.682926829268293,FALSE,"FIL30_56",TRUE,"FIL30_56_D_M2_1",80.7173154766932,"Self","...","FIL30_56","FIL30_56_G_M2","Fil30_56_G_M2_1","FIL30_56|FIL30_56_G_M2|Fil30_56_G_M2_1",96,14,82,91,13,78,10,10,NA,TRUE,FALSE,77,64,13,0.831168831168831,FALSE,"FIL30_56",TRUE,"FIL30_56_G_M2_1",57.2006427557988,"Self"
"FIL30_56_G_M2491",494,492,"FIL30_56_G_M2","FIL30_56_D_M2",33,21,7,5,80,77,90,92,66,182,91,0.725274725274725,2.27173913043478,4.56666666666667,7.75549450549451,6.87391304347826,"FIL30_56","FIL30_56","FIL30_56","FIL30_56","...","FIL30_56","FIL30_56_G_M2","Fil30_56_G_M2_1","FIL30_56|FIL30_56_G_M2|Fil30_56_G_M2_1",96,14,82,91,13,78,10,10,NA,TRUE,FALSE,77,64,13,0.831168831168831,FALSE,"FIL30_56",TRUE,"FIL30_56_G_M2_1",57.2006427557988,"Self","...","FIL30_56","FIL30_56_D_M2","Fil30_56_D_M2_1","FIL30_56|FIL30_56_D_M2|Fil30_56_D_M2_1",102,14,88,94,26,68,15,15,NA,TRUE,FALSE,82,56,26,0.682926829268293,FALSE,"FIL30_56",TRUE,"FIL30_56_D_M2_1",80.7173154766932,"Self"
