"","MatSib","i","j","iSam","jSam","het_het","het_homo","homo_het","homo_homo","len_i","len_j","tot_i","tot_j","logicSum","totSum","totMean","totProp","crToIb","ibToCr","ibToIb","fs","minTest","iSam_mother","iSam_father","jSam_mother","jSam_father","""...""","mother","sample","origin","code","n_tot","n_delly","n_gatk","nr_n","nr_het","nr_homo","nr_uni","nr_uniHet","nr_uniHomo","motherDL","sampleDL","lfm_n","lfm_het","lfm_homo","lfm_hetProp","cp_logic","father","likelySelf","originMod","coverage","cp_status","""...""","mother","sample","origin","code","n_tot","n_delly","n_gatk","nr_n","nr_het","nr_homo","nr_uni","nr_uniHet","nr_uniHomo","motherDL","sampleDL","lfm_n","lfm_het","lfm_homo","lfm_hetProp","cp_logic","father","likelySelf","originMod","coverage","cp_status"
"FIL30_162_M2117",FALSE,116,118,"FIL30_162_M2","FIL30_165_M2",77,0,0,1,79,79,80,81,78,161,80.5,0.968944099378882,106.092592592593,108.3375,125.480590062112,67.1200617283951,67.1200617283951,"FIL30_162",NA,"FIL30_165",NA,"...","FIL30_162","FIL30_162_M2","FIL30_162_M2-3","FIL30_162|FIL30_162_M2|FIL30_162_M2-3",82,6,76,80,1,79,1,1,NA,FALSE,FALSE,74,73,1,0.986486486486487,FALSE,NA,FALSE,"FIL30_162_M2_3",58.5901969016723,"Ambiguous","...","FIL30_165","FIL30_165_M2","FIL30_165_M2-3","FIL30_165|FIL30_165_M2|FIL30_165_M2-3",83,6,77,81,1,80,2,2,NA,FALSE,FALSE,75,74,1,0.986666666666667,FALSE,NA,FALSE,"FIL30_165_M2_3",36.1073827456898,"Ambiguous"
"FIL30_165_M2115",FALSE,118,116,"FIL30_165_M2","FIL30_162_M2",77,0,0,1,79,79,81,80,78,161,80.5,0.968944099378882,108.3375,106.092592592593,125.480590062112,67.1200617283951,67.1200617283951,"FIL30_165",NA,"FIL30_162",NA,"...","FIL30_165","FIL30_165_M2","FIL30_165_M2-3","FIL30_165|FIL30_165_M2|FIL30_165_M2-3",83,6,77,81,1,80,2,2,NA,FALSE,FALSE,75,74,1,0.986666666666667,FALSE,NA,FALSE,"FIL30_165_M2_3",36.1073827456898,"Ambiguous","...","FIL30_162","FIL30_162_M2","FIL30_162_M2-3","FIL30_162|FIL30_162_M2|FIL30_162_M2-3",82,6,76,80,1,79,1,1,NA,FALSE,FALSE,74,73,1,0.986486486486487,FALSE,NA,FALSE,"FIL30_162_M2_3",58.5901969016723,"Ambiguous"
"FIL20_47_C_M2763",FALSE,38,764,"FIL20_47_C_M2","FIL30_85_H_M2",30,0,0,7,39,37,43,37,37,80,40,0.925,31.472972972973,24.2906976744186,38.2,10.5091137649277,10.5091137649277,"FIL20_47","FIL20_47","FIL30_85","FIL30_85","...","FIL20_47","FIL20_47_C_M2","Fil20_47_C_M2_1","FIL20_47|FIL20_47_C_M2|Fil20_47_C_M2_1",52,19,33,43,7,36,4,4,NA,TRUE,FALSE,32,27,5,0.84375,FALSE,"FIL20_47",TRUE,"FIL20_47_C_M2_1",52.2542175930581,"Self","...","FIL30_85","FIL30_85_H_M2","Fil30_85_H_M2_1","FIL30_85|FIL30_85_H_M2|Fil30_85_H_M2_1",44,15,29,37,7,30,NA,NA,NA,TRUE,FALSE,28,23,5,0.821428571428571,FALSE,"FIL30_85",TRUE,"FIL30_85_H_M2_1",62.3782386784202,"Self"
"FIL30_85_H_M237",FALSE,764,38,"FIL30_85_H_M2","FIL20_47_C_M2",30,0,0,7,37,39,37,43,37,80,40,0.925,24.2906976744186,31.472972972973,38.2,10.5091137649277,10.5091137649277,"FIL30_85","FIL30_85","FIL20_47","FIL20_47","...","FIL30_85","FIL30_85_H_M2","Fil30_85_H_M2_1","FIL30_85|FIL30_85_H_M2|Fil30_85_H_M2_1",44,15,29,37,7,30,NA,NA,NA,TRUE,FALSE,28,23,5,0.821428571428571,FALSE,"FIL30_85",TRUE,"FIL30_85_H_M2_1",62.3782386784202,"Self","...","FIL20_47","FIL20_47_C_M2","Fil20_47_C_M2_1","FIL20_47|FIL20_47_C_M2|Fil20_47_C_M2_1",52,19,33,43,7,36,4,4,NA,TRUE,FALSE,32,27,5,0.84375,FALSE,"FIL20_47",TRUE,"FIL20_47_C_M2_1",52.2542175930581,"Self"
"FIL30_56_B_M2515",TRUE,512,516,"FIL30_56_B_M2","FIL30_56_G_M2",52,2,6,7,77,81,91,91,67,182,91,0.736263736263736,26.9065934065934,21.0164835164835,32.4917582417582,1.85714285714286,1.85714285714286,"FIL30_56","FIL30_56","FIL30_56","FIL30_56","...","FIL30_56","FIL30_56_B_M2","Fil30_56_B_M2_1","FIL30_56|FIL30_56_B_M2|Fil30_56_B_M2_1",97,13,84,91,17,74,13,13,NA,TRUE,FALSE,78,62,16,0.794871794871795,FALSE,"FIL30_56",TRUE,"FIL30_56_B_M2_1",53.451204062933,"Self","...","FIL30_56","FIL30_56_G_M2","Fil30_56_G_M2_1","FIL30_56|FIL30_56_G_M2|Fil30_56_G_M2_1",96,14,82,91,13,78,10,10,NA,TRUE,FALSE,77,64,13,0.831168831168831,FALSE,"FIL30_56",TRUE,"FIL30_56_G_M2_1",57.2006427557988,"Self"
"FIL30_56_G_M2511",TRUE,516,512,"FIL30_56_G_M2","FIL30_56_B_M2",52,6,2,7,81,77,91,91,67,182,91,0.736263736263736,21.0164835164835,26.9065934065934,32.4917582417582,1.85714285714286,1.85714285714286,"FIL30_56","FIL30_56","FIL30_56","FIL30_56","...","FIL30_56","FIL30_56_G_M2","Fil30_56_G_M2_1","FIL30_56|FIL30_56_G_M2|Fil30_56_G_M2_1",96,14,82,91,13,78,10,10,NA,TRUE,FALSE,77,64,13,0.831168831168831,FALSE,"FIL30_56",TRUE,"FIL30_56_G_M2_1",57.2006427557988,"Self","...","FIL30_56","FIL30_56_B_M2","Fil30_56_B_M2_1","FIL30_56|FIL30_56_B_M2|Fil30_56_B_M2_1",97,13,84,91,17,74,13,13,NA,TRUE,FALSE,78,62,16,0.794871794871795,FALSE,"FIL30_56",TRUE,"FIL30_56_B_M2_1",53.451204062933,"Self"
"FIL30_56_B_M2516",TRUE,512,517,"FIL30_56_B_M2","FIL30_56_H_M2",46,10,5,9,77,78,91,100,70,191,95.5,0.732984293193717,7.48,14.9065934065934,16.1276178010471,0.325494505494505,0.325494505494505,"FIL30_56","FIL30_56","FIL30_56","FIL30_56","...","FIL30_56","FIL30_56_B_M2","Fil30_56_B_M2_1","FIL30_56|FIL30_56_B_M2|Fil30_56_B_M2_1",97,13,84,91,17,74,13,13,NA,TRUE,FALSE,78,62,16,0.794871794871795,FALSE,"FIL30_56",TRUE,"FIL30_56_B_M2_1",53.451204062933,"Self","...","FIL30_56","FIL30_56_H_M2","Fil30_56_H_M2_1","FIL30_56|FIL30_56_H_M2|Fil30_56_H_M2_1",109,12,97,100,25,75,20,19,1,TRUE,FALSE,88,65,23,0.738636363636364,FALSE,"FIL30_56",TRUE,"FIL30_56_H_M2_1",56.6991454251293,"Self"
"FIL30_56_H_M2511",TRUE,517,512,"FIL30_56_H_M2","FIL30_56_B_M2",46,5,10,9,78,77,100,91,70,191,95.5,0.732984293193717,14.9065934065934,7.48,16.1276178010471,0.325494505494505,0.325494505494505,"FIL30_56","FIL30_56","FIL30_56","FIL30_56","...","FIL30_56","FIL30_56_H_M2","Fil30_56_H_M2_1","FIL30_56|FIL30_56_H_M2|Fil30_56_H_M2_1",109,12,97,100,25,75,20,19,1,TRUE,FALSE,88,65,23,0.738636363636364,FALSE,"FIL30_56",TRUE,"FIL30_56_H_M2_1",56.6991454251293,"Self","...","FIL30_56","FIL30_56_B_M2","Fil30_56_B_M2_1","FIL30_56|FIL30_56_B_M2|Fil30_56_B_M2_1",97,13,84,91,17,74,13,13,NA,TRUE,FALSE,78,62,16,0.794871794871795,FALSE,"FIL30_56",TRUE,"FIL30_56_B_M2_1",53.451204062933,"Self"
"FIL30_56_D_M2515",TRUE,514,516,"FIL30_56_D_M2","FIL30_56_G_M2",34,7,21,5,79,81,94,91,67,185,92.5,0.724324324324324,4.84065934065934,2.04255319148936,7.89391891891892,6.50233808744447,2.04255319148936,"FIL30_56","FIL30_56","FIL30_56","FIL30_56","...","FIL30_56","FIL30_56_D_M2","Fil30_56_D_M2_1","FIL30_56|FIL30_56_D_M2|Fil30_56_D_M2_1",102,14,88,94,26,68,15,15,NA,TRUE,FALSE,82,56,26,0.682926829268293,FALSE,"FIL30_56",TRUE,"FIL30_56_D_M2_1",80.7173154766932,"Self","...","FIL30_56","FIL30_56_G_M2","Fil30_56_G_M2_1","FIL30_56|FIL30_56_G_M2|Fil30_56_G_M2_1",96,14,82,91,13,78,10,10,NA,TRUE,FALSE,77,64,13,0.831168831168831,FALSE,"FIL30_56",TRUE,"FIL30_56_G_M2_1",57.2006427557988,"Self"
"FIL30_56_G_M2513",TRUE,516,514,"FIL30_56_G_M2","FIL30_56_D_M2",34,21,7,5,81,79,91,94,67,185,92.5,0.724324324324324,2.04255319148936,4.84065934065934,7.89391891891892,6.50233808744447,2.04255319148936,"FIL30_56","FIL30_56","FIL30_56","FIL30_56","...","FIL30_56","FIL30_56_G_M2","Fil30_56_G_M2_1","FIL30_56|FIL30_56_G_M2|Fil30_56_G_M2_1",96,14,82,91,13,78,10,10,NA,TRUE,FALSE,77,64,13,0.831168831168831,FALSE,"FIL30_56",TRUE,"FIL30_56_G_M2_1",57.2006427557988,"Self","...","FIL30_56","FIL30_56_D_M2","Fil30_56_D_M2_1","FIL30_56|FIL30_56_D_M2|Fil30_56_D_M2_1",102,14,88,94,26,68,15,15,NA,TRUE,FALSE,82,56,26,0.682926829268293,FALSE,"FIL30_56",TRUE,"FIL30_56_D_M2_1",80.7173154766932,"Self"
"FIL30_56_G_M2516",TRUE,516,517,"FIL30_56_G_M2","FIL30_56_H_M2",47,10,4,8,81,78,91,100,69,191,95.5,0.722513089005236,8.27,17.3791208791209,18.3475130890052,0.229450549450549,0.229450549450549,"FIL30_56","FIL30_56","FIL30_56","FIL30_56","...","FIL30_56","FIL30_56_G_M2","Fil30_56_G_M2_1","FIL30_56|FIL30_56_G_M2|Fil30_56_G_M2_1",96,14,82,91,13,78,10,10,NA,TRUE,FALSE,77,64,13,0.831168831168831,FALSE,"FIL30_56",TRUE,"FIL30_56_G_M2_1",57.2006427557988,"Self","...","FIL30_56","FIL30_56_H_M2","Fil30_56_H_M2_1","FIL30_56|FIL30_56_H_M2|Fil30_56_H_M2_1",109,12,97,100,25,75,20,19,1,TRUE,FALSE,88,65,23,0.738636363636364,FALSE,"FIL30_56",TRUE,"FIL30_56_H_M2_1",56.6991454251293,"Self"
