"","mother","sample","origin","code","n_tot","n_delly","n_gatk","nr_n","nr_het","nr_homo","nr_uni","nr_uniHet","nr_uniHomo","motherDL","sampleDL","lfm_n","lfm_het","lfm_homo","lfm_hetProp","cp_logic","father","likelySelf","originMod","coverage","cp_status"
"306","FIL20_105","FIL20_105_A_M2","Fil20_105_A_M2_1","FIL20_105|FIL20_105_A_M2|Fil20_105_A_M2_1",90,11,79,86,25,61,24,24,NA,TRUE,FALSE,77,53,24,0.688311688311688,FALSE,"FIL20_105",TRUE,"FIL20_105_A_M2_1",56.0546034905925,"Self"
"496","FIL20_105","FIL20_105_B_M2","Fil20_105_B_M2_1","FIL20_105|FIL20_105_B_M2|Fil20_105_B_M2_1",77,14,63,76,22,54,20,20,NA,TRUE,FALSE,62,42,20,0.67741935483871,FALSE,"FIL20_105",TRUE,"FIL20_105_B_M2_1",43.8539083565482,"Self"
"1297","FIL20_105","FIL20_105_C_M2","Fil20_105_C_M2_1","FIL20_105|FIL20_105_C_M2|Fil20_105_C_M2_1",84,15,69,82,27,55,18,17,1,TRUE,FALSE,68,42,26,0.617647058823529,FALSE,"FIL20_105",TRUE,"FIL20_105_C_M2_1",94.5350828300937,"Self"
"2990","FIL20_105","FIL20_105_D_M2","Fil20_105_D_M2_1","FIL20_105|FIL20_105_D_M2|Fil20_105_D_M2_1",89,22,67,86,31,55,18,16,2,TRUE,FALSE,66,41,25,0.621212121212121,FALSE,"FIL20_105",TRUE,"FIL20_105_D_M2_1",44.3666667585459,"Self"
"3950","FIL20_105","FIL20_105_G_M2","Fil20_105_G_M2_1","FIL20_105|FIL20_105_G_M2|Fil20_105_G_M2_1",75,11,64,71,26,45,16,16,NA,TRUE,FALSE,60,37,23,0.616666666666667,FALSE,"FIL20_105",TRUE,"FIL20_105_G_M2_1",62.051560044058,"Self"
"2358","FIL20_105","FIL20_105_H_M2","Fil20_105_H_M2_1","FIL20_105|FIL20_105_H_M2|Fil20_105_H_M2_1",62,13,49,61,20,41,10,9,1,TRUE,FALSE,49,31,18,0.63265306122449,FALSE,"FIL20_105",TRUE,"FIL20_105_H_M2_1",98.9825444027362,"Self"
"1518","FIL20_128","FIL20_128_A_M2","Fil20_128_A_M2_1","FIL20_128|FIL20_128_A_M2|Fil20_128_A_M2_1",79,27,52,75,NA,75,7,7,NA,TRUE,FALSE,50,50,NA,1,TRUE,NA,FALSE,"FIL20_128_A_M2_1",54.9538736779045,"Cross"
"1519","FIL20_128","FIL20_128_B_M2","Fil20_128_B_M2_1","FIL20_128|FIL20_128_B_M2|Fil20_128_B_M2_1",78,18,60,75,19,56,23,18,5,TRUE,FALSE,58,43,15,0.741379310344828,FALSE,"FIL20_128",TRUE,"FIL20_128_B_M2_1",57.8750196332141,"Self"
"154","FIL20_128","FIL20_128_C_M2","Fil20_128_C_M2_1","FIL20_128|FIL20_128_C_M2|Fil20_128_C_M2_1",73,10,63,67,8,59,25,25,NA,TRUE,FALSE,59,52,7,0.88135593220339,FALSE,"FIL20_128",TRUE,"FIL20_128_C_M2_1",48.3830884518619,"Self"
"1367","FIL20_128","FIL20_128_D_M2","Fil20_128_D_M2_1","FIL20_128|FIL20_128_D_M2|Fil20_128_D_M2_1",80,17,63,72,4,68,18,18,NA,TRUE,FALSE,57,53,4,0.929824561403509,FALSE,NA,FALSE,"FIL20_128_D_M2_1",77.0016670828544,"Ambiguous"
"646","FIL20_128","FIL20_128_E_M2","Fil20_128_E_M2_1","FIL20_128|FIL20_128_E_M2|Fil20_128_E_M2_1",55,5,50,48,18,30,10,10,NA,TRUE,FALSE,43,25,18,0.581395348837209,FALSE,"FIL20_128",TRUE,"FIL20_128_E_M2_1",47.530007202078,"Self"
"1477","FIL20_128","FIL20_128_I_M2","Fil20_128_I_M2_1","FIL20_128|FIL20_128_I_M2|Fil20_128_I_M2_1",86,16,70,77,NA,77,52,52,NA,TRUE,FALSE,66,66,NA,1,TRUE,NA,FALSE,"FIL20_128_I_M2_1",52.6195627442995,"Cross"
"2139","FIL20_161","FIL20_161_C_M2","Fil20_161_C_M2_1","FIL20_161|FIL20_161_C_M2|Fil20_161_C_M2_1",43,8,35,39,5,34,20,20,NA,TRUE,FALSE,33,31,2,0.939393939393939,FALSE,NA,FALSE,"FIL20_161_C_M2_1",45.3407512424041,"Ambiguous"
"2140","FIL20_161","FIL20_161_D_M2","Fil20_161_D_M2_1","FIL20_161|FIL20_161_D_M2|Fil20_161_D_M2_1",44,12,32,39,7,32,15,13,2,TRUE,FALSE,31,24,7,0.774193548387097,FALSE,"FIL20_161",TRUE,"FIL20_161_D_M2_1",52.7499777250836,"Self"
"1986","FIL20_161","FIL20_161_E_M2","Fil20_161_E_M2_1","FIL20_161|FIL20_161_E_M2|Fil20_161_E_M2_1",60,13,47,51,NA,51,24,24,NA,TRUE,FALSE,42,42,NA,1,TRUE,NA,FALSE,"FIL20_161_E_M2_1",70.4808573519194,"Cross"
"1339","FIL20_161","FIL20_161_F_M2","Fil20_161_F_M2_1","FIL20_161|FIL20_161_F_M2|Fil20_161_F_M2_1",49,12,37,44,2,42,20,20,NA,TRUE,FALSE,36,34,2,0.944444444444444,FALSE,NA,FALSE,"FIL20_161_F_M2_1",54.4809977632488,"Ambiguous"
"514","FIL20_161","FIL20_161_G_M2","Fil20_161_G_M2_1","FIL20_161|FIL20_161_G_M2|Fil20_161_G_M2_1",104,17,87,95,NA,95,56,56,NA,TRUE,FALSE,83,83,NA,1,TRUE,NA,FALSE,"FIL20_161_G_M2_1",45.0053428097403,"Cross"
"3031","FIL20_161","FIL20_161_H_M2","Fil20_161_H_M2_1","FIL20_161|FIL20_161_H_M2|Fil20_161_H_M2_1",62,21,41,49,16,33,35,24,11,TRUE,FALSE,34,22,12,0.647058823529412,FALSE,"FIL20_161",TRUE,"FIL20_161_H_M2_1",72.5153515216205,"Self"
"2143","FIL20_161","FIL20_161_I_M2","Fil20_161_I_M2_1","FIL20_161|FIL20_161_I_M2|Fil20_161_I_M2_1",35,2,33,34,6,28,12,12,NA,TRUE,FALSE,32,26,6,0.8125,FALSE,"FIL20_161",TRUE,"FIL20_161_I_M2_1",51.1738566504567,"Self"
"2144","FIL20_161","FIL20_161_J_M2","Fil20_161_J_M2_1","FIL20_161|FIL20_161_J_M2|Fil20_161_J_M2_1",33,6,27,30,5,25,13,13,NA,TRUE,FALSE,26,21,5,0.807692307692308,FALSE,"FIL20_161",TRUE,"FIL20_161_J_M2_1",49.2630977835024,"Self"
"1010","FIL20_199","FIL20_199_B_M2","Fil20_199_B_M2_1","FIL20_199|FIL20_199_B_M2|Fil20_199_B_M2_1",88,13,75,80,23,57,12,12,NA,TRUE,FALSE,70,49,21,0.7,FALSE,"FIL20_199",TRUE,"FIL20_199_B_M2_1",49.4836214658742,"Self"
"1011","FIL20_199","FIL20_199_D_M2","Fil20_199_D_M2_1","FIL20_199|FIL20_199_D_M2|Fil20_199_D_M2_1",99,13,86,90,9,81,12,12,NA,TRUE,FALSE,81,72,9,0.888888888888889,FALSE,"FIL20_199",TRUE,"FIL20_199_D_M2_1",52.613545768796,"Self"
"619","FIL20_199","FIL20_199_E_M2","Fil20_199_E_M2_1","FIL20_199|FIL20_199_E_M2|Fil20_199_E_M2_1",98,15,83,85,23,62,15,15,NA,TRUE,FALSE,74,54,20,0.72972972972973,FALSE,"FIL20_199",TRUE,"FIL20_199_E_M2_1",62.670881541412,"Self"
"1013","FIL20_199","FIL20_199_F_M2","Fil20_199_F_M2_1","FIL20_199|FIL20_199_F_M2|Fil20_199_F_M2_1",76,11,65,71,23,48,16,16,NA,TRUE,FALSE,64,41,23,0.640625,FALSE,"FIL20_199",TRUE,"FIL20_199_F_M2_1",81.1793853061629,"Self"
"1537","FIL20_20","FIL20_20_A_M2","Fil20_20_A_M2_1","FIL20_20|FIL20_20_A_M2|Fil20_20_A_M2_1",76,4,72,67,NA,67,25,25,NA,TRUE,FALSE,64,64,NA,1,TRUE,NA,FALSE,"FIL20_20_A_M2_1",71.0978573974045,"Cross"
"1178","FIL20_20","FIL20_20_H_M2","Fil20_20_H_M2_1","FIL20_20|FIL20_20_H_M2|Fil20_20_H_M2_1",65,8,57,54,12,42,22,21,1,TRUE,FALSE,49,38,11,0.775510204081633,FALSE,"FIL20_20",TRUE,"FIL20_20_H_M2_1",59.0753485157025,"Self"
"1621","FIL20_20","FIL20_20_I_M2","Fil20_20_I_M2_1","FIL20_20|FIL20_20_I_M2|Fil20_20_I_M2_1",56,4,52,48,16,32,15,15,NA,TRUE,FALSE,46,30,16,0.652173913043478,FALSE,"FIL20_20",TRUE,"FIL20_20_I_M2_1",58.7680386297834,"Self"
"1179","FIL20_20","FIL20_20_J_M2","Fil20_20_J_M2_1","FIL20_20|FIL20_20_J_M2|Fil20_20_J_M2_1",64,7,57,51,8,43,14,13,1,TRUE,FALSE,47,39,8,0.829787234042553,FALSE,"FIL20_20",TRUE,"FIL20_20_J_M2_1",55.4387340490115,"Self"
"38","FIL20_25","FIL20_25_A_M2","Fil20_25_A_M2_1","FIL20_25|FIL20_25_A_M2|Fil20_25_A_M2_1",59,5,54,50,14,36,15,13,2,TRUE,FALSE,45,34,11,0.755555555555556,FALSE,"FIL20_25",TRUE,"FIL20_25_A_M2_1",56.9388111234489,"Self"
"39","FIL20_25","FIL20_25_E_M2","Fil20_25_E_M2_1","FIL20_25|FIL20_25_E_M2|Fil20_25_E_M2_1",72,4,68,61,6,55,21,21,NA,TRUE,FALSE,57,51,6,0.894736842105263,FALSE,"FIL20_25",TRUE,"FIL20_25_E_M2_1",49.3165830227906,"Self"
"40","FIL20_25","FIL20_25_F_M2","Fil20_25_F_M2_1","FIL20_25|FIL20_25_F_M2|Fil20_25_F_M2_1",53,4,49,46,14,32,13,13,NA,TRUE,FALSE,42,30,12,0.714285714285714,FALSE,"FIL20_25",TRUE,"FIL20_25_F_M2_1",64.6528743113574,"Self"
"4349","FIL20_25","FIL20_25_G_M2","Fil20_25_G_M2_1","FIL20_25|FIL20_25_G_M2|Fil20_25_G_M2_1",51,5,46,43,11,32,7,7,NA,TRUE,FALSE,38,29,9,0.763157894736842,FALSE,"FIL20_25",TRUE,"FIL20_25_G_M2_1",42.1896035005749,"Self"
"41","FIL20_25","FIL20_25_H_M2","Fil20_25_H_M2_1","FIL20_25|FIL20_25_H_M2|Fil20_25_H_M2_1",68,8,60,59,7,52,26,26,NA,TRUE,FALSE,53,46,7,0.867924528301887,FALSE,"FIL20_25",TRUE,"FIL20_25_H_M2_1",46.7178870795211,"Self"
"42","FIL20_25","FIL20_25_I_M2","Fil20_25_I_M2_1","FIL20_25|FIL20_25_I_M2|Fil20_25_I_M2_1",69,4,65,60,18,42,19,16,3,TRUE,FALSE,56,38,18,0.678571428571429,FALSE,"FIL20_25",TRUE,"FIL20_25_I_M2_1",61.8181587370858,"Self"
"43","FIL20_25","FIL20_25_J_M2","Fil20_25_J_M2_1","FIL20_25|FIL20_25_J_M2|Fil20_25_J_M2_1",55,4,51,48,5,43,15,14,1,TRUE,FALSE,44,39,5,0.886363636363636,FALSE,"FIL20_25",TRUE,"FIL20_25_J_M2_1",75.0908713374202,"Self"
"58","FIL20_47","FIL20_47_A_M2","Fil20_47_A_M2_1","FIL20_47|FIL20_47_A_M2|Fil20_47_A_M2_1",41,11,30,36,2,34,6,6,NA,TRUE,FALSE,29,27,2,0.931034482758621,FALSE,NA,FALSE,"FIL20_47_A_M2_1",45.1435609127825,"Ambiguous"
"60","FIL20_47","FIL20_47_B_M2","Fil20_47_B_M2_1","FIL20_47|FIL20_47_B_M2|Fil20_47_B_M2_1",52,17,35,43,9,34,14,14,NA,TRUE,FALSE,34,27,7,0.794117647058823,FALSE,"FIL20_47",TRUE,"FIL20_47_B_M2_1",47.8157173616018,"Self"
"62","FIL20_47","FIL20_47_C_M2","Fil20_47_C_M2_1","FIL20_47|FIL20_47_C_M2|Fil20_47_C_M2_1",52,19,33,43,7,36,4,4,NA,TRUE,FALSE,32,27,5,0.84375,FALSE,"FIL20_47",TRUE,"FIL20_47_C_M2_1",52.2542175930581,"Self"
"64","FIL20_47","FIL20_47_E_M2","Fil20_47_E_M2_1","FIL20_47|FIL20_47_E_M2|Fil20_47_E_M2_1",39,10,29,34,12,22,11,8,3,TRUE,FALSE,28,17,11,0.607142857142857,FALSE,"FIL20_47",TRUE,"FIL20_47_E_M2_1",64.4033961061913,"Self"
"66","FIL20_47","FIL20_47_F_M2","Fil20_47_F_M2_1","FIL20_47|FIL20_47_F_M2|Fil20_47_F_M2_1",52,12,40,46,2,44,21,21,NA,TRUE,FALSE,39,38,1,0.974358974358974,FALSE,NA,FALSE,"FIL20_47_F_M2_1",77.2971164346837,"Ambiguous"
"788","FIL20_66","FIL20_66_B_M2","Fil20_66_B_M2_1","FIL20_66|FIL20_66_B_M2|Fil20_66_B_M2_1",42,10,32,37,11,26,14,14,NA,TRUE,FALSE,31,22,9,0.709677419354839,FALSE,"FIL20_66",TRUE,"FIL20_66_B_M2_1",84.9994716877209,"Self"
"1398","FIL20_66","FIL20_66_C_M2","Fil20_66_C_M2_1","FIL20_66|FIL20_66_C_M2|Fil20_66_C_M2_1",38,7,31,37,3,34,18,18,NA,TRUE,FALSE,30,27,3,0.9,FALSE,"FIL20_66",TRUE,"FIL20_66_C_M2_1",44.791089671113,"Self"
"789","FIL20_66","FIL20_66_D_M2","Fil20_66_D_M2_1","FIL20_66|FIL20_66_D_M2|Fil20_66_D_M2_1",64,9,55,57,NA,57,20,20,NA,TRUE,FALSE,51,51,NA,1,TRUE,NA,FALSE,"FIL20_66_D_M2_1",92.8383482262631,"Cross"
"3930","FIL20_66","FIL20_66_E_M2","Fil20_66_E_M2_1","FIL20_66|FIL20_66_E_M2|Fil20_66_E_M2_1",74,21,53,62,NA,62,31,31,NA,TRUE,FALSE,51,51,NA,1,TRUE,NA,FALSE,"FIL20_66_E_M2_1",79.8706641981041,"Cross"
"790","FIL20_66","FIL20_66_F_M2","Fil20_66_F_M2_1","FIL20_66|FIL20_66_F_M2|Fil20_66_F_M2_1",43,6,37,39,5,34,15,15,NA,TRUE,FALSE,34,29,5,0.852941176470588,FALSE,"FIL20_66",TRUE,"FIL20_66_F_M2_1",61.5786972680514,"Self"
"4446","FIL20_97","FIL20_97_A_M2","Fil20_97_A_M2_1","FIL20_97|FIL20_97_A_M2|Fil20_97_A_M2_1",46,13,33,38,5,33,7,7,NA,TRUE,FALSE,32,27,5,0.84375,FALSE,"FIL20_97",TRUE,"FIL20_97_A_M2_1",69.7598781168918,"Self"
